title,content,url
AWS Lambda поддерживает Python 3.7,"""Empty content""",https://aws.amazon.com/about-aws/whats-new/2018/11/aws-lambda-supports-python-37/
Краткое руководство по Dash — Python веб-фреймворк для создания дэшбордов. Installation + Dash Layout,"Сегодня предлагаю погрузиться в один из удобнейших веб-фреймворков в связке c Python под названием Dash. Появился он не так давно, пару лет назад благодаря разработчикам фреймворка plotly. Сам Dash является связкой Flask, React.Js, HTML и CSS.",https://habr.com/post/431754/?utm_campaign=431754
Django Function-Based Views vs. Class-Based Views,"""Empty content""",http://concisecoder.io/2018/12/01/django-function-based-views-vs-class-based-views/
Решаем crackme от Лаборатории Касперского,"В один прекрасный день разные каналы в телеграмме начали кидать ссылку на крэкмишку от ЛК, Успешно выполнившие задание будут приглашены на собеседование!. После такого громкого заявления мне стало интересно, насколько сложным будет реверс. О том, как я решал этот таск можно почитать под катом (много картинок).",https://habr.com/post/431690/?utm_campaign=431690
Создание арта с помощью DCGAN,"Полгода назад я начал изучать машинное обучение, прошел пару курсов и получил некоторый опыт в этом. Затем, видя самые разные новости о том, какие нейронные сети крутые и много могут делать, я решил попробовать изучить их. Начал читать книгу Николенко про глубокое обучение и в ходе чтения у меня появилось несколько идей (которые не новы для мира, но для меня представляли огромный интерес), одна из которых — создать нейросеть, которая генерировала бы для меня арт, который казался бы классным не только мне, ""отцу рисующего ребёнка"", но и другим людям. В этой статье я постараюсь описать путь, который я прошел для того, чтобы получить первые удовлетворяющие меня результаты.",https://habr.com/post/431614/?utm_campaign=431614
Выделение сегментов с помощью OpenCV,"""Empty content""",https://www.pyimagesearch.com/2018/11/26/instance-segmentation-with-opencv/
Пасьянсная сортировка,"Перси Дьяконис, вдоль и поперёк изучивший пасьянсную сортировку, считает, что она является быстрейшим способом ручного упорядочивания колоды карт.  Так что, если уважаемый математик (и бывалый карточный фокусник) не врёт, то с практической ценностью алгоритма всё в порядке.  А теперь следите за руками.",https://habr.com/post/431094/?utm_campaign=431094
Continuous Integration with Python: введение,"""Empty content""",https://realpython.com/python-continuous-integration/
Работаем с CSV в Pandas,"""Empty content""",https://www.marsja.se/pandas-read-csv-tutorial-to-csv/
Скелет Serverless Flask REST API на Zeit Now,"""Empty content""",https://medium.com/@camillovisini/barebone-serverless-flask-rest-api-on-zeit-now-9c2fe979c25c
Скелет Serverless Python JSON API на Zeit Now,Разбираемся с Serverless JSON API и разворачиваем в Zeit Now,https://medium.com/@camillovisini/barebone-serverless-python-json-api-on-zeit-now-b90187021fb7
Скелет сайта на Flask,Учимся писать и разворачивать Flask сайт на Amazon ElasticBeanstalk,https://medium.com/@camillovisini/barebone-flask-website-77c19c8ff620
Перехватываем Unix сигналы в Python,"""Empty content""",https://stackabuse.com/handling-unix-signals-in-python/
Визуализация данных на Matplotlib,"""Empty content""",https://stackabuse.com/python-data-visualization-with-matplotlib/
Управляем зависимостями для Python проекта в 2018,"""Empty content""",https://hynek.me/articles/python-app-deps-2018/
Предсказание оттока пользователей с помощью метода RFM,"Представьте: телефонный звонок в три часа ночи, вы берете трубку и слышите крик о том, что больше никто не пользуется вашим продуктом. Страшно? В жизни, конечно, все не так, но если не уделять должное внимание проблеме оттока пользователей, можно оказаться в похожей ситуации.  Мы уже подробно рассказали, что такое отток: углубились в теорию и показали, как превратить нейросеть в цифрового оракула. Специалисты студии Plarium Krasnodar знают еще один способ предсказания. О нем мы и поговорим.",https://habr.com/post/431520/?utm_campaign=431520
Kubernetes for Python Developers: часть 1,"""Empty content""",https://www.distributedpython.com/2018/11/28/kubernetes-python-developers-part-1/
Python в Visual Studio Code – November 2018,"""Empty content""",https://blogs.msdn.microsoft.com/pythonengineering/2018/11/29/python-in-visual-studio-code-november-2018-release/
Учим Python: с 0 до профессионала,"""Empty content""",https://www.codementor.io/leandrotk100/learning-python-from-zero-to-hero-pqmxb3711
Алгоритмы поиска на Python,"""Empty content""",https://stackabuse.com/search-algorithms-in-python/
"Как сохранить текст, JSON, CSV в файл","""Empty content""",https://stackabuse.com/saving-text-json-and-csv-to-a-file-in-python/
Поддержка Cython в Python 2,"""Empty content""",https://matthewrocklin.com/blog//work/2018/11/28/python-2-and-cython
Транспайлер-цепь Python → 11l → C++ [для ускорения Python-кода и не только],"В данной статье рассматриваются наиболее интересные преобразования, которые выполняет цепочка из двух транспайлеров (первый переводит код на языке Python в код на новом языке программирования 11l, а второй — код на 11l в C++), а также производится сравнение производительности с другими средствами ускорения/исполнения кода на Python (PyPy, Cython, Nuitka).",https://habr.com/post/431318/?utm_campaign=431318
Анализ производительство синхронного и асинхронного Python,"""Empty content""",https://stackabuse.com/asynchronous-vs-synchronous-python-performance-analysis/
Внутренности Python. Пасхалки,"Привет! На хабре было довольно много статей про пасхалки питона, но вроде нигде не упоминалось про то, как все это устроено изнутри. Думаю, что будет интересно прежде всего начинающим питонистам. Об этом и пойдет речь под катом!",https://habr.com/post/430308/?utm_campaign=430308
Нагрузочное тестирование с locust. Часть 2,"Для тех, кому понравилась моя предыдущая статья, продолжаю делится впечатлениями об инструменте для нагрузочного тестирования Locust.  Постараюсь наглядно показать преимущества написания нагрузочного теста python кодом, в котором можно удобно как подготавливать любые данные для теста, так и обрабатывать результаты.",https://habr.com/post/430810/?utm_campaign=430810
Podcast.__init__: используем Calibre для своей библиотеки,Аудио-подкаст,https://www.podcastinit.com/calibre-with-kovid-goyal-episode-187/
Test and Code: 54: Python 1994,Аудио-подкаст,https://testandcode.com/54
StackOverflow: интересные вопросы за неделю (cliv),"""Empty content""",http://python-weekly.blogspot.com/2018/12/cliv-stackoverflow-python-report.html
Python Junior подкаст. Чему учат на курсах программирования.,"""Empty content""",https://www.youtube.com/watch?v=_H41PH0Hsz4
django-rest-captcha - добавляем капчу для Django-rest-framework,Капчей нужно защищать не только веб формы но и публичный REST API. django-rest-captcha реализация капчи для DRF,https://github.com/zueve/django-rest-captcha
SciPy 1.2.0rc1,"""Empty content""",https://github.com/scipy/scipy/releases
Flask-Migrate 2.3.1,"""Empty content""",https://github.com/miguelgrinberg/Flask-Migrate/releases
